nombre_audio,cluster
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,6
CRIOLLA FUGA 1_21.wav,11
Alonso 1-2.4.wav,28
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,6
Alonso 1-2.5.wav,28
A Cobertizo Chapa VIENTO!-Z2N5_02.L.wav,9
Alonso 1-2.6.wav,28
Alonso 1-2.9.wav,28
Alonso 1-2.7.wav,28
EL NAVEGANTE SOLITARIO-VFinal Bafici.R.wav,31
Porto 1-2-3-4-5-6-7-8-9-10.1.wav,29
CRUZ DEL SUR 02.wav,-1
CRUZ DEL SUR 02.1.wav,5
CRUZ DEL SUR 02.2.wav,5
CRUZ DEL SUR 02.3.wav,5
Campanadas-Tr1-DVerb_01.wav,1
CRUZ DEL SUR 02.4.wav,5
CRUZ DEL SUR 02.5.wav,5
CRUZ DEL SUR 02.6.wav,5
CRUZ DEL SUR 02.7.wav,5
CRUZ DEL SUR 02.8.wav,5
CRUZ DEL SUR 02.9.wav,5
CRUZ DEL SUR 01.wav,-1
CRUZ DEL SUR 01.1.wav,5
CRUZ DEL SUR 01.2.wav,5
CRUZ DEL SUR 01.3.wav,5
CRUZ DEL SUR 01.4.wav,5
CRUZ DEL SUR 01.5.wav,5
CRUZ DEL SUR 01.6.wav,5
CRUZ DEL SUR 01.7.wav,5
CRUZ DEL SUR 01.8.wav,5
CRUZ DEL SUR 01.9.wav,5
CRUZ DEL SUR 01.10.wav,5
CRUZ DEL SUR 01.11.wav,5
CRUZ DEL SUR 01.12.wav,5
CRUZ DEL SUR 01.13.wav,5
CRUZ DEL SUR 01.14.wav,5
CRUZ DEL SUR 01.15.wav,5
CRUZ DEL SUR 01.16.wav,5
C_AGN_371_L1_02.7.wav,1
STE-033.wav.1.wav,1
CRIOLLA FUGA 1_17.wav,11
Cufr__ 8-Caminando junto al LEHG I-Tr2.2.wav,6
STE-033.L.wav,1
STE-033.wav,1
STE-033.wav,1
40 BR LENTO TORMENTA.L.wav,15
01 - CRUZ DEL SUR-Ãltima.R.wav,3
STE-XOTN_01.wav,1
AVENTURAS V3.wav,4
STE-033.wav,1
STE-033.1.wav,1
STE-034.wav,1
AVENTURAS V3.4-PiSh_02.L.wav,4
C0026.6.wav,1
STE-034.1.wav,1
STE-Z2P5_01.wav,1
STE-Z2P5_01.wav,1
STE-Z2P5_01.wav,1
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,17
C_AGN_371_L1-Z2N5_02.wav,1
C_AGN_371_L1-Z2N5_02.wav,1
Cufr__ 9-Cubierta LEHG I-Tr2.1.wav,8
C_AGN_371_L1-Z2N5_02.wav,1
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,6
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,6
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,6
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,17
Dumas en Iglesia St. Ferdinand (4).1.wav,21
Cufr__ 9-Cubierta LEHG I-Tr1.wav,8
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,8
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,8
Alonso 1-2.3.wav,28
Cufr__ 9-Cubierta LEHG I-Tr1.2.wav,8
01 - CRUZ DEL SUR-Ãltima.L.wav,3
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,8
ENS ACTO 1 EXTRAS 2_04.R.wav,-1
Cufr__ 9-Cubierta LEHG I-Tr1-Dk_01.wav,8
EL NAVEGANTE SOLITARIO-VFinal Bafici.L.wav,31
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,8
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,6
Alvarez Forn 3-4.wav,14
Alvarez Forn 3-4.wav,14
Alvarez Forn 3-4.1.wav,14
Alvarez Forn 3-4.2.wav,14
Dumas en Iglesia St. Ferdinand (4).wav,21
Diego Dumas l 1-2.11.wav,7
Alvarez Forn 1-2.wav,2
Diego Dumas l 1-2.10.wav,7
Alvarez Forn 1-Dd_01.wav,14
CRUZ DEL SUR 02.10.wav,5
CRUZ DEL SUR 02.11.wav,5
CRUZ DEL SUR 02.12.wav,5
CRUZ DEL SUR 02.13.wav,5
C0026.10.wav,1
CRUZ DEL SUR 02.14.wav,5
CRUZ DEL SUR 02.15.wav,5
CRUZ DEL SUR 02.16.wav,5
CRUZ DEL SUR 02.17.wav,5
CRUZ DEL SUR 02.18.wav,5
CRUZ DEL SUR 02.19.wav,5
CRUZ DEL SUR 01.17.wav,5
CRUZ DEL SUR 01.18.wav,5
CRUZ DEL SUR 01.19.wav,5
CRUZ DEL SUR 01.20.wav,5
CRUZ DEL SUR 01.21.wav,5
CRUZ DEL SUR 01.22.wav,5
CRUZ DEL SUR 01.23.wav,5
CRUZ DEL SUR 01.24.wav,5
CRUZ DEL SUR 01.25.wav,5
CRUZ DEL SUR 01.26.wav,5
CRUZ DEL SUR 01.27.wav,5
CRUZ DEL SUR 01.28.wav,5
CRUZ DEL SUR 01.29.wav,5
CRUZ DEL SUR 01.30.wav,5
CRUZ DEL SUR 01.31.wav,5
CRUZ DEL SUR 01.32.wav,5
CRUZ DEL SUR 01.33.wav,5
STE-Dd_01.wav,1
STE-Dd_02.wav,1
STE-035.wav,1
01 - CRUZ DEL SUR-Ãltima.L.wav,3
C_AGN_371_L1_02.4.wav,1
C_AGN_371_L1_02.4.wav,1
C_AGN_371_L1_02.5.wav,1
C_AGN_371_L1_02.7.wav,1
Diego Dumas l 1-2.8.wav,7
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,6
Cufr__ 7-Caminando junto al LEHG I-Tr2.1.wav,6
Alonso 1-2.5.wav,28
Cufr__ 7-Caminando junto al LEHG I-Tr2.2.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr2.wav,6
Cufr__ 13-Patio del museo-Tr2.wav,26
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr2.2.wav,6
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,17
Cufr__ 9-Cubierta LEHG I-Tr2.1.wav,8
Dumas en Iglesia St. Ferdinand (4).1.wav,21
